Note	Frequency (5474 in total)
f	1235
cm	998
[f]	199
5	142
[cm]	130
2	103
3	101
4	86
1	73
this	65
..	53
.	47
?	46
is	46
kt	46
i	45
a	32
not	31
to	27
or	24
y4	23
clue	22
b3	21
oh	21
r4	21
if	20
23	19
m3	19
the	19
y3	19
play	18
probably	18
be	17
but	17
g3	17
maybe	17
b4	16
r3	16
g4	14
i4	14
lol	14
m4	14
on	13
presumably	13
r	13
we	13
actually	12
b5	12
here	12
looks	12
p3	12
34	11
fix	11
g	11
p3>	11
rip	11
will	11
??	10
g2	10
m1	10
m2	10
me	10
missed	10
red	10
should	10
so	10
can	9
g1	9
get	9
i3	9
oops	9
...	8
better	8
like	8
m23	8
p2	8
r1	8
why	8
b2	7
guess	7
it's	7
known	7
p4	7
r2	7
use	7
y2	7
:/	6
after	6
as	6
b5>	6
blue	6
color	6
fa	6
just	6
n3	6
playable	6
r5>	6
teal	6
turn	6
was	6
y	6
y5	6
yeah	6
b	5
b1	5
exactly	5
have	5
lhs	5
n2>	5
o3	5
of	5
p5	5
potentially	5
r5	5
really	5
save	5
sky3	5
white	5
y4>	5
:(	4
???	4
also	4
and	4
assume	4
big	4
bluff	4
bomb	4
card3>	4
cause	4
could	4
dda	4
don't	4
dupe	4
for	4
g2e	4
g5	4
green	4
it	4
k2e>	4
kappa	4
m234	4
m5	4
marked	4
my	4
n2	4
navy	4
no	4
r1>>?	4
r2>	4
seems	4
some	4
sure	4
time	4
tomato	4
utd	4
well	4
wonder	4
wrong	4
you	4
235	3
5ce	3
????	3
almost	3
any	3
bad	3
before	3
card	3
cards	3
clr	3
discard	3
doesn't	3
first	3
g2e>	3
give	3
going	3
good	3
hard	3
im	3
in	3
instead	3
issues	3
know	3
m	3
m/1	3
m1>	3
mahog	3
mahog3>	3
means	3
more	3
must	3
myb	3
non	3
open	3
p	3
p4>	3
prio	3
r4>?	3
read	3
right	3
same	3
scams	3
supposed	3
think	3
trust	3
weak	3
what	3
with	3
works	3
y5k5>	3
yellow	3
your	3
!2	2
234	2
24	2
45	2
4s	2
5cm	2
;-;	2
\\	2
a3	2
about	2
all	2
already	2
an	2
are	2
because	2
best	2
blind	2
brave	2
brown	2
c2	2
card3	2
certainly	2
cluck	2
coming	2
critical	2
darkpink4	2
did	2
didn't	2
em2	2
fair	2
ffs	2
fin	2
finesse	2
g2>	2
g5>	2
gray	2
i1	2
i2	2
i23	2
i5	2
into	2
k2	2
k5	2
lets	2
little	2
loaded	2
lose	2
low	2
m5y5	2
mahogany	2
many	2
might	2
mm	2
multi	2
o23	2
o2>	2
o4	2
one	2
oop	2
order	2
other	2
ouch	2
outside	2
p23	2
p2b2	2
pay	2
phew	2
playing	2
possible	2
prism3	2
prompt	2
reclue	2
sadge	2
see	2
seem	2
sky	2
sky5	2
stall	2
steal	2
tbh	2
that	2
things	2
touch	2
turbo	2
twice	2
u2	2
unlucky	2
w	2
w2	2
w4	2
way	2
wont	2
y1	2
y2f	2
y2m1	2
y5>	2
yb	2
zam	2
!b	1
!g	1
!r	1
!y	1
!y5?	1
!yb	1
#	1
#1	1
#2	1
#4	1
#?	1
%	1
.cm	1
/stomp	1
0	1
16	1
17	1
1>	1
24dupe	1
25	1
27	1
2nd	1
2s	1
2save	1
2xp2>	1
3/m	1
300	1
31	1
345	1
3??/	1
3s	1
5stall	1
>.<	1
?...	1
??????	1
?????????	1
?????????????	1
^^	1
a4	1
a5	1
accidental	1
again	1
always	1
am	1
ambig	1
and/but	1
anyways	1
asaelr	1
assuming	1
assuredly	1
attempt	1
autoplays	1
away	1
b1>	1
b2>	1
b2?>	1
b2f	1
b2p2	1
b34	1
b3>	1
b3>?	1
b4>?	1
b4k4	1
b5?>	1
b5s	1
ba	1
banned	1
baton	1
bc	1
became	1
bg5	1
blue4	1
bm5	1
bmy	1
boldclue	1
both	1
br	1
brown3	1
bry	1
bt	1
burn	1
by3	1
bym	1
bys	1
c1	1
c4	1
card4	1
card4?>	1
change	1
clear	1
close	1
clues	1
cm'd	1
cm45	1
cm>	1
coi	1
colr	1
comes	1
considering	1
convention	1
crit	1
darn	1
ddream	1
deduction	1
deep	1
delay	1
delayed	1
determine	1
different	1
dind't	1
direct	1
discading	1
discarded	1
discards	1
do	1
doable	1
doc	1
does	1
doubt	1
dumb	1
dupin	1
eactly	1
eg2>	1
ejection	1
even	1
ever	1
evil	1
exact	1
exctly	1
exists	1
f3	1
fails	1
faith	1
fantastic	1
fb2	1
fill	1
finally	1
fine	1
fireheart	1
focus	1
fora	1
fore4	1
forget	1
forgot	1
forgotten	1
from	1
fy1	1
g1/2	1
g23	1
g234m1	1
g3m4	1
g4m4	1
g5m4	1
g5p	1
ga	1
gave	1
gb	1
gbp	1
gbr	1
gbt	1
goes	1
gr	1
gr'	1
gray3	1
gtp	1
guide	1
guilty	1
haha	1
hanabi	1
hands	1
he	1
hesi	1
high	1
hit	1
hm	1
hmm	1
hope	1
hopefully	1
hoping	1
how	1
i'm	1
i2>>	1
i3>?	1
i4b4	1
i4m4	1
ice3	1
ig	1
illegal	1
imagine	1
implies	1
indigo4	1
intended	1
isn't	1
it'snot	1
jake	1
jsut	1
k	1
k/tomat3	1
k1	1
k23	1
k2b3	1
k3	1
k4	1
kakashi	1
killed	1
kind	1
knows	1
ky4	1
kyle	1
l3	1
late	1
later	1
laughter	1
lie	1
lightpink4	1
lightpink5	1
likely	1
lim	1
lime4	1
lime5	1
lmfao	1
load	1
loaded5	1
long	1
look	1
looksv	1
loooool	1
lord	1
lot	1
m23k23	1
m34	1
m3m4	1
m4/	1
m45	1
mahogany234	1
mahogany4	1
major	1
may	1
mb	1
mean	1
mediocre	1
mistake	1
mmm	1
most	1
mrb5	1
much	1
muddy	1
mudy	1
n23	1
n4	1
n5	1
navy4	1
navy5	1
needed	1
needing	1
neither	1
never	1
next	1
nice	1
not3	1
note	1
nvm	1
o	1
o1	1
o2	1
o45	1
o5	1
ocm	1
off	1
ohno	1
only	1
orchid	1
otherwise	1
over	1
own	1
p2b2y23	1
p2f	1
p3>???	1
p4g4	1
pain	1
pb	1
pby	1
pch3	1
peach	1
people	1
performed	1
pf	1
pg	1
piper	1
plan	1
plans	1
playclues	1
played	1
players	1
plays	1
please	1
pog	1
possibly	1
potential	1
pr	1
pray	1
pressume	1
princ	1
prism	1
probbaly	1
problematic	1
proibably	1
promised	1
prompting	1
pull	1
pulls	1
purple	1
push	1
py	1
r12	1
r1g1t1	1
r23	1
r3>?	1
r3ifr2	1
r45/i5	1
rainbow	1
rainbow3	1
rank	1
rb	1
re	1
real	1
reds	1
respect	1
respects	1
responsibility	1
risk	1
rm2	1
rm5	1
rush	1
rybg	1
s1	1
s3	1
sacrifice	1
sadly	1
says	1
scam	1
scammed	1
sdcm	1
shame	1
shoulod	1
since	1
situation	1
sky/tomato/mahog	1
sky3sky2navy1	1
sky5berry5>	1
small	1
