Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
kopen	166.67	8	87.5	0.0	12.5	0.0
asdfew	100.0	2	100.0	0.0	0.0	0.0
charmander	100.0	2	100.0	0.0	0.0	0.0
Doge	100.0	2	0.0	0.0	100.0	0.0
Kernel	100.0	2	100.0	0.0	0.0	0.0
nkkarpov	100.0	4	100.0	0.0	0.0	0.0
Pikachu	100.0	2	100.0	0.0	0.0	0.0
rfrank27	100.0	2	100.0	0.0	0.0	0.0
ThorsKraken	100.0	2	50.0	0.0	50.0	0.0
sjdrodge	66.67	25	88.0	0.0	12.0	0.0
padi	57.14	11	90.91	0.0	9.09	0.0
MangoPie	54.55	17	58.82	0.0	41.18	0.0
Pepepe	53.85	20	65.0	0.0	35.0	0.0
efaust	53.33	23	82.61	0.0	17.39	0.0
rz	51.85	41	65.85	0.0	34.15	0.0
Asddsa76	50.0	21	61.9	0.0	38.1	0.0
avanderwalde	50.0	12	91.67	0.0	8.33	0.0
awe	50.0	18	61.11	0.0	38.89	0.0
ejwu	50.0	3	66.67	0.0	33.33	0.0
Hapotata	50.0	3	66.67	0.0	33.33	0.0
Joan	50.0	9	55.56	0.0	44.44	0.0
joelwool	50.0	6	83.33	0.0	16.67	0.0
letical	50.0	9	77.78	0.0	22.22	0.0
sean1815	50.0	3	100.0	0.0	0.0	0.0
snkylittleazn	50.0	3	100.0	0.0	0.0	0.0
Veexliat	50.0	3	100.0	0.0	0.0	0.0
Div	46.67	22	59.09	0.0	40.91	0.0
Maiorskills	44.44	26	96.15	0.0	3.85	0.0
MasN	42.86	10	100.0	0.0	0.0	0.0
Wittvector	40.91	31	51.61	0.0	48.39	0.0
Andrew_UK	40.0	7	100.0	0.0	0.0	0.0
Bonja97	40.0	14	78.57	0.0	21.43	0.0
hanabornoob	40.0	7	85.71	0.0	14.29	0.0
Macert	40.0	7	100.0	0.0	0.0	0.0
XMIL	38.89	25	48.0	0.0	52.0	0.0
Fey	37.61	150	68.67	0.67	30.0	0.67
postmans	36.84	26	73.08	0.0	26.92	0.0
derekcheah	35.71	19	52.63	15.79	31.58	0.0
Libster	34.48	78	64.1	0.0	29.49	6.41
florrat2	33.33	8	75.0	0.0	25.0	0.0
Puzzle	33.33	4	50.0	0.0	50.0	0.0
SashaIr	33.33	8	100.0	0.0	0.0	0.0
Shos	33.33	4	100.0	0.0	0.0	0.0
TheDaniMan	33.33	24	62.5	0.0	37.5	0.0
Nitrate	32.65	65	47.69	3.08	49.23	0.0
Pablo-	32.43	98	66.33	0.0	33.67	0.0
micerang	31.82	174	70.69	0.0	29.31	0.0
hakha3	30.77	34	52.94	0.0	47.06	0.0
lotem	30.77	17	94.12	5.88	0.0	0.0
MarkusKahlsen	30.77	34	64.71	0.0	32.35	2.94
Razvogor	30.77	17	76.47	0.0	23.53	0.0
HelanaAshryvr	30.0	26	76.92	0.0	23.08	0.0
Hunter	30.0	13	100.0	0.0	0.0	0.0
Nitrate2	29.17	62	45.16	3.23	51.61	0.0
TimeHoodie	28.95	147	70.75	0.0	25.85	3.4
Will	28.57	9	77.78	0.0	22.22	0.0
wortel	28.57	18	83.33	0.0	16.67	0.0
Carunty	27.87	78	67.95	0.0	32.05	0.0
GГ¶ttertГ¶ter	27.78	23	73.91	0.0	26.09	0.0
macanek	27.78	23	60.87	0.0	39.13	0.0
Romain672	26.83	52	80.77	0.0	19.23	0.0
hakha	26.67	38	47.37	0.0	52.63	0.0
Zakisan	26.67	19	68.42	0.0	31.58	0.0
asaelr	26.09	232	59.91	1.29	36.21	2.59
wump	26.09	29	37.93	0.0	62.07	0.0
jeff10	25.93	34	61.76	0.0	38.24	0.0
DMoney	25.0	55	60.0	0.0	40.0	0.0
honkbeep	25.0	10	90.0	0.0	10.0	0.0
katian	25.0	25	72.0	0.0	28.0	0.0
kemurphy	25.0	5	80.0	0.0	20.0	0.0
kevincaseytdk1	25.0	5	100.0	0.0	0.0	0.0
Plum	25.0	10	90.0	0.0	10.0	0.0
Ptheven	25.0	5	80.0	0.0	20.0	0.0
scharkbite	25.0	120	66.67	3.33	30.0	0.0
timotree	25.0	5	60.0	0.0	0.0	40.0
Zamiel	25.0	140	64.29	0.0	35.71	0.0
zeinab001	25.0	5	100.0	0.0	0.0	0.0
frosty104	24.53	66	46.97	0.0	53.03	0.0
IAMJEFF	24.38	199	60.8	3.02	35.18	1.01
jack67889	23.68	141	54.61	0.71	43.26	1.42
cockdestroyer	23.38	95	56.84	2.11	41.05	0.0
aquarelle	23.08	16	37.5	0.0	62.5	0.0
Floriman	22.97	91	71.43	0.0	25.27	3.3
kondain	22.22	22	68.18	0.0	31.82	0.0
Lel0uch	22.22	187	55.08	0.0	42.25	2.67
indego	21.95	100	60.0	0.0	40.0	0.0
Kyle	21.43	221	71.49	0.0	28.05	0.45
StKildaFan	21.05	46	69.57	0.0	28.26	2.17
Cory	20.51	47	76.6	0.0	23.4	0.0
sephiroth	20.48	200	54.5	2.5	39.0	4.0
4head	20.0	12	83.33	0.0	16.67	0.0
kinkajusrevenge	20.0	6	100.0	0.0	0.0	0.0
nitawa	20.0	174	58.05	3.45	38.51	0.0
orucsoraihc	20.0	18	72.22	0.0	27.78	0.0
Pimak	20.0	18	50.0	0.0	50.0	0.0
piper	20.0	6	50.0	0.0	50.0	0.0
robense	20.0	48	39.58	0.0	60.42	0.0
Dr_Kakashi	18.79	196	70.92	1.02	28.06	0.0
melwen	18.64	70	60.0	0.0	40.0	0.0
Feer	18.18	13	84.62	0.0	15.38	0.0
qqqq	17.57	87	62.07	0.0	36.78	1.15
invarse	17.39	27	48.15	0.0	51.85	0.0
kodomazer	17.14	41	73.17	0.0	26.83	0.0
Darth_Calculus	16.67	7	100.0	0.0	0.0	0.0
duckless	16.67	7	85.71	0.0	14.29	0.0
Fireheart	16.53	141	51.77	4.26	41.84	2.13
Lanvin	16.13	72	55.56	0.0	44.44	0.0
VerySloppyTwo	16.07	65	50.77	7.69	41.54	0.0
Ahming	16.0	29	62.07	0.0	37.93	0.0
duckmammal	15.79	22	90.91	0.0	9.09	0.0
vEnhance	15.79	22	72.73	0.0	27.27	0.0
Animex52	15.58	89	66.29	0.0	33.71	0.0
boba	15.38	30	50.0	0.0	46.67	3.33
ChristopheAF	15.38	30	76.67	0.0	23.33	0.0
Jake_Stiles	15.38	75	57.33	5.33	37.33	0.0
doctorabi	15.15	38	42.11	0.0	57.89	0.0
Livia	14.41	135	65.19	5.93	28.89	0.0
CompleteTrust	14.29	8	50.0	0.0	50.0	0.0
dobi	14.29	8	62.5	0.0	37.5	0.0
plus	14.29	24	79.17	0.0	20.83	0.0
Valetta6789	13.89	82	60.98	4.88	34.15	0.0
swineherd	13.33	17	76.47	0.0	17.65	5.88
catula	12.83	255	60.0	0.39	39.22	0.39
NoMercy	12.5	18	61.11	0.0	38.89	0.0
Stinkydude63	12.5	9	22.22	0.0	77.78	0.0
rachyrules	12.07	65	52.31	0.0	46.15	1.54
