Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
TheDaniMan	50.0	30	60.0	0.0	40.0	0.0
ricardodd	48.39	46	63.04	2.17	34.78	0.0
MarcLovesDogs	46.67	22	86.36	0.0	13.64	0.0
wump	42.86	30	76.67	0.0	23.33	0.0
rachyrules	34.04	63	61.9	0.0	38.1	0.0
postmans	33.33	20	85.0	0.0	15.0	0.0
kevincaseytdk1	31.25	21	52.38	0.0	47.62	0.0
doctorabi	30.83	174	60.34	0.57	32.76	6.32
frosty104	30.4	459	61.22	3.92	32.9	1.96
StKildaFan	29.9	126	62.7	0.0	36.51	0.79
MarkusKahlsen	29.85	348	24.14	8.91	59.2	7.76
Carunty	29.55	114	88.6	0.0	11.4	0.0
Spieler42	29.41	22	50.0	0.0	50.0	0.0
ChristopheAF	29.39	295	69.83	2.03	26.1	2.03
aquarelle	29.09	71	83.1	0.0	16.9	0.0
asaelr	26.56	81	48.15	0.0	51.85	0.0
bjnh	26.03	92	41.3	0.0	58.7	0.0
MangoPie	25.86	146	43.84	2.74	53.42	0.0
macanek	24.62	81	56.79	6.17	30.86	6.17
colton	24.32	46	76.09	0.0	23.91	0.0
jack67889	24.3	133	45.86	9.02	43.61	1.5
scharkbite	24.14	72	43.06	0.0	56.94	0.0
Fey	23.68	376	58.51	0.27	40.69	0.53
rz	23.68	94	62.77	3.19	34.04	0.0
robense	22.58	76	68.42	0.0	31.58	0.0
antitelharsic	22.22	22	31.82	9.09	59.09	0.0
dobi	22.22	253	41.11	0.0	58.89	0.0
Sucubis	21.99	172	54.07	0.0	43.02	2.91
IAMJEFF	21.88	78	64.1	0.0	34.62	1.28
hakha3	21.31	148	40.54	0.68	54.05	4.73
swineherd	21.05	69	46.38	0.0	53.62	0.0
orucsoraihc	20.78	93	54.84	0.0	45.16	0.0
hakha	20.63	152	39.47	0.66	55.26	4.61
Pablo-	20.62	117	47.86	2.56	43.59	5.98
TimeHoodie	20.14	334	57.78	2.4	36.83	2.99
micerang	20.0	24	45.83	0.0	41.67	12.5
Hoodie	19.93	337	57.57	2.37	37.09	2.97
melwen	19.81	774	39.53	5.04	55.17	0.26
pianoblook	19.67	73	57.53	0.0	38.36	4.11
Div	19.44	43	55.81	0.0	44.19	0.0
qqqq	19.4	80	37.5	0.0	50.0	12.5
kimbifille	19.35	74	48.65	0.0	51.35	0.0
methmatics	19.35	37	70.27	0.0	27.03	2.7
4head	19.23	62	62.9	0.0	37.1	0.0
ksfortson	19.05	25	64.0	0.0	36.0	0.0
timotree	18.6	51	37.25	0.0	60.78	1.96
Floriman	18.33	71	52.11	0.0	43.66	4.23
HelanaAshryvr	18.18	390	65.9	1.54	32.05	0.51
katian	17.62	227	68.28	4.41	27.31	0.0
sin_faith	17.62	307	64.5	4.89	28.01	2.61
derekcheah	17.35	602	31.4	0.0	68.6	0.0
Nitrate	16.98	62	58.06	0.0	40.32	1.61
Onen	16.67	56	57.14	3.57	39.29	0.0
boba	16.42	390	56.92	1.28	38.97	2.82
Kyle	16.0	116	54.31	0.0	43.1	2.59
Lanvin	14.93	408	48.77	2.21	49.02	0.0
Nitrate2	14.89	54	62.96	0.0	35.19	1.85
newduke	13.41	93	54.84	1.08	44.09	0.0
kopen	13.24	77	33.77	0.0	66.23	0.0
Bonja97	13.16	43	18.6	0.0	76.74	4.65
Zakisan	13.04	26	73.08	0.0	26.92	0.0
Romain672	12.9	35	97.14	0.0	2.86	0.0
Wittvector	12.67	249	36.95	3.21	56.22	3.61
VerySloppyTwo	12.57	206	53.4	2.91	42.72	0.97
sephiroth	12.08	334	46.11	0.0	51.5	2.4
catula	12.0	112	58.04	0.0	41.96	0.0
Animex52	11.11	30	70.0	0.0	30.0	0.0
cockdestroyer	11.11	20	35.0	10.0	55.0	0.0
eliclax	11.11	30	23.33	6.67	66.67	3.33
jeff10	10.89	112	58.04	2.68	37.5	1.79
indego	9.65	1716	30.07	1.46	57.23	11.25
inde	9.63	1719	30.02	1.45	57.3	11.23
squirrel1988	9.52	230	45.65	0.87	53.48	0.0
Zamiel	8.93	61	39.34	4.92	55.74	0.0
possum	8.33	26	42.31	0.0	57.69	0.0
Fireheart	8.16	53	13.21	5.66	81.13	0.0
FerKeth	6.45	33	84.85	0.0	15.15	0.0
BraydonM	5.0	21	90.48	0.0	9.52	0.0
