Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
avanderwalde	81.82	20	75.0	0.0	25.0	0.0
angel-a	64.29	23	82.61	0.0	17.39	0.0
frosty104	50.65	116	76.72	0.0	23.28	0.0
MarkusKahlsen	44.9	71	49.3	0.0	50.7	0.0
antitelharsic	44.44	26	96.15	0.0	3.85	0.0
Veexliat	43.75	23	100.0	0.0	0.0	0.0
dobi	42.86	20	55.0	0.0	45.0	0.0
Wittvector	42.31	37	56.76	0.0	43.24	0.0
macanek	41.94	88	77.27	0.0	22.73	0.0
Doge	40.74	38	89.47	0.0	10.53	0.0
parrotdoxair	39.58	67	91.04	0.0	8.96	0.0
swineherd	39.13	32	81.25	3.12	15.62	0.0
Pablo-	38.46	36	63.89	2.78	33.33	0.0
rz	38.46	36	75.0	0.0	25.0	0.0
AnnaTheNerd	37.5	33	100.0	0.0	0.0	0.0
ejwu	35.56	61	85.25	0.0	14.75	0.0
Lel0uch	35.4	153	66.01	0.0	33.33	0.65
boba	35.29	23	100.0	0.0	0.0	0.0
rachyrules	33.96	71	85.92	0.0	12.68	1.41
doctorabi	33.33	72	62.5	0.0	37.5	0.0
Feich59	33.33	20	90.0	0.0	10.0	0.0
ricardodd	33.33	28	60.71	0.0	39.29	0.0
Fey	31.58	25	84.0	0.0	16.0	0.0
HelanaAshryvr	31.58	25	60.0	0.0	40.0	0.0
GemmyBean	29.41	22	86.36	0.0	13.64	0.0
sin_faith	28.85	67	64.18	0.0	34.33	1.49
timotree	28.57	81	90.12	0.0	9.88	0.0
Carunty	28.12	82	75.61	0.0	24.39	0.0
orucsoraihc	28.03	338	72.19	0.0	21.6	6.21
jack67889	26.92	66	78.79	0.0	21.21	0.0
wump	26.83	52	90.38	0.0	9.62	0.0
ksfortson	26.67	57	84.21	0.0	15.79	0.0
TimeHoodie	25.0	95	50.53	0.0	47.37	2.11
Hoodie	24.68	96	50.0	0.0	47.92	2.08
Bonja97	22.22	22	77.27	0.0	22.73	0.0
catula	22.14	171	91.81	0.0	8.19	0.0
Sucubis	21.05	46	69.57	0.0	28.26	2.17
JackFrost	20.0	24	95.83	0.0	4.17	0.0
Onen	20.0	66	68.18	0.0	31.82	0.0
IsabeltheCat	19.23	31	45.16	0.0	54.84	0.0
melwen	17.86	33	66.67	0.0	33.33	0.0
MarcLovesDogs	17.14	41	75.61	0.0	24.39	0.0
robense	16.28	100	50.0	0.0	29.0	21.0
katian	16.22	43	32.56	0.0	65.12	2.33
indego	16.07	65	75.38	0.0	20.0	4.62
ChristopheAF	15.79	22	90.91	0.0	4.55	4.55
sephiroth	15.38	30	76.67	0.0	23.33	0.0
BraydonM	14.29	24	100.0	0.0	0.0	0.0
kevincaseytdk1	13.64	25	44.0	0.0	56.0	0.0
kopen	13.04	26	88.46	0.0	11.54	0.0
Tiramisu1th	13.04	26	100.0	0.0	0.0	0.0
Animex52	12.9	35	82.86	0.0	17.14	0.0
newduke	12.26	119	67.23	0.0	31.09	1.68
scharkbite	12.12	37	24.32	0.0	18.92	56.76
Lanvin	10.71	62	58.06	0.0	41.94	0.0
jeff10	10.39	85	21.18	0.0	14.12	64.71
Rubix	9.68	34	100.0	0.0	0.0	0.0
possum	9.38	35	57.14	0.0	42.86	0.0
voss	9.09	24	75.0	0.0	25.0	0.0
cockdestroyer	8.57	38	89.47	0.0	10.53	0.0
DarthGandalf	5.41	39	25.64	0.0	56.41	17.95
