Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
Nitrate2	29.5	259	46.72	8.49	44.4	0.39
Nitrate	28.78	264	46.97	8.33	44.32	0.38
nitawa	26.15	82	56.1	4.88	39.02	0.0
Lanvin	24.44	56	57.14	12.5	30.36	0.0
Sucubis	21.15	63	52.38	3.17	44.44	0.0
Pablo-	18.33	71	47.89	5.63	45.07	1.41
Bonja97	17.74	73	58.9	0.0	41.1	0.0
TheDaniMan	17.24	68	29.41	0.0	70.59	0.0
methmatics	16.67	28	50.0	0.0	42.86	7.14
wump	16.67	42	71.43	2.38	26.19	0.0
jack67889	16.44	85	61.18	2.35	36.47	0.0
catula	15.85	95	62.11	1.05	33.68	3.16
sephiroth	14.85	116	71.55	1.72	23.28	3.45
indego	14.81	31	35.48	0.0	61.29	3.23
vEnhance	14.52	71	67.61	0.0	32.39	0.0
TimeHoodie	14.29	24	50.0	0.0	50.0	0.0
sin_faith	12.9	35	77.14	5.71	17.14	0.0
derekcheah	12.73	62	54.84	0.0	45.16	0.0
antitelharsic	12.5	72	55.56	4.17	40.28	0.0
newduke	11.32	59	54.24	8.47	37.29	0.0
XMIL	11.01	121	61.98	0.83	37.19	0.0
Animex52	10.64	52	57.69	0.0	38.46	3.85
asaelr	10.0	22	68.18	13.64	18.18	0.0
Lel0uch	10.0	22	36.36	9.09	54.55	0.0
melwen	7.84	55	47.27	1.82	49.09	1.82
VerySloppyTwo	7.69	42	54.76	0.0	40.48	4.76
Kyle	5.0	21	47.62	0.0	52.38	0.0
Wittvector	4.55	46	45.65	0.0	47.83	6.52
penisman	3.12	33	63.64	0.0	36.36	0.0
Aluap	0.0	22	59.09	0.0	40.91	0.0
Stinkydude63	0.0	20	65.0	0.0	35.0	0.0
