Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
willwin4sure	42.45	151	86.09	5.96	7.95	0.0
nukelauncher	41.38	41	95.12	0.0	4.88	0.0
anser	41.32	171	83.04	5.26	11.7	0.0
Bonja97	37.5	22	100.0	0.0	0.0	0.0
TimeHoodie	19.05	25	60.0	0.0	40.0	0.0
XMIL	16.13	36	83.33	0.0	16.67	0.0
cockdestroyer	14.52	71	67.61	0.0	32.39	0.0
Nitrate2	9.09	24	62.5	0.0	37.5	0.0
newduke	6.82	47	63.83	21.28	14.89	0.0
jack67889	0.0	20	0.0	0.0	100.0	0.0
jeff10	0.0	26	57.69	3.85	38.46	0.0
melwen	0.0	41	58.54	0.0	41.46	0.0
