Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
nukelauncher	41.38	41	95.12	0.0	4.88	0.0
anser	37.61	161	86.96	1.86	11.18	0.0
Bonja97	37.5	22	100.0	0.0	0.0	0.0
willwin4sure	37.5	143	90.21	2.1	7.69	0.0
TimeHoodie	19.05	25	60.0	0.0	40.0	0.0
XMIL	16.13	36	83.33	0.0	16.67	0.0
cockdestroyer	14.52	71	67.61	0.0	32.39	0.0
Nitrate2	9.09	24	62.5	0.0	37.5	0.0
newduke	6.82	47	63.83	21.28	14.89	0.0
jack67889	0.0	20	0.0	0.0	100.0	0.0
jeff10	0.0	22	54.55	4.55	40.91	0.0
melwen	0.0	33	54.55	0.0	45.45	0.0
