Player name	W/L(%)	Total games	Easy	Null	Single dark	Double dark
wump	81.82	20	75.0	0.0	25.0	0.0
Smandon	42.86	20	80.0	0.0	20.0	0.0
kinkajusrevenge	41.18	24	83.33	8.33	8.33	0.0
MangoPie	37.5	22	59.09	0.0	40.91	0.0
StKildaFan	36.84	26	76.92	0.0	23.08	0.0
jeff10	34.38	43	72.09	2.33	25.58	0.0
Floriman	33.33	20	70.0	0.0	30.0	0.0
frosty104	33.33	24	95.83	0.0	4.17	0.0
Nitrate	33.33	36	58.33	11.11	30.56	0.0
Nitrate2	33.33	36	58.33	11.11	30.56	0.0
Pablo-	32.73	73	73.97	1.37	24.66	0.0
rz	31.91	62	69.35	0.0	30.65	0.0
orucsoraihc	31.25	42	88.1	0.0	11.9	0.0
rachyrules	29.17	31	54.84	0.0	45.16	0.0
ricardodd	27.78	23	78.26	0.0	21.74	0.0
Carunty	26.92	33	93.94	0.0	6.06	0.0
Fey	25.81	39	100.0	0.0	0.0	0.0
TheDaniMan	25.49	64	76.56	9.38	14.06	0.0
sephiroth	25.0	45	68.89	6.67	24.44	0.0
ksfortson	24.32	46	80.43	4.35	15.22	0.0
plus	23.33	37	81.08	0.0	18.92	0.0
Kyle	23.02	171	51.46	5.85	42.11	0.58
kevincaseytdk1	22.22	66	62.12	13.64	24.24	0.0
TimeHoodie	22.22	110	63.64	2.73	31.82	1.82
Hoodie	21.98	111	63.06	2.7	32.43	1.8
pianoblook	20.51	47	44.68	12.77	36.17	6.38
Bonja97	20.0	36	63.89	2.78	33.33	0.0
swineherd	20.0	36	63.89	0.0	36.11	0.0
will.i.am	20.0	24	54.17	0.0	45.83	0.0
HelanaAshryvr	19.77	103	38.83	34.95	25.24	0.97
asaelr	19.44	43	51.16	16.28	32.56	0.0
indego	19.23	31	45.16	0.0	54.84	0.0
newduke	18.81	120	68.33	5.0	26.67	0.0
charmander	17.65	20	45.0	55.0	0.0	0.0
Zamiel	16.88	90	41.11	21.11	31.11	6.67
Jake_Stiles	16.67	21	52.38	9.52	38.1	0.0
Wittvector	16.13	36	36.11	0.0	63.89	0.0
XMIL	16.13	36	69.44	5.56	25.0	0.0
avanderwalde	16.0	87	49.43	14.94	35.63	0.0
jack67889	15.38	30	53.33	0.0	40.0	6.67
scharkbite	15.28	166	65.06	6.02	28.92	0.0
MarkusKahlsen	15.19	91	49.45	2.2	48.35	0.0
IAMJEFF	15.0	23	91.3	0.0	8.7	0.0
micerang	15.0	23	34.78	0.0	65.22	0.0
dobi	14.29	72	13.89	43.06	43.06	0.0
Lel0uch	13.56	67	31.34	0.0	67.16	1.49
JerryYang	13.33	51	60.78	7.84	31.37	0.0
Lanvin	13.24	77	51.95	2.6	41.56	3.9
DMoney	12.73	62	37.1	0.0	62.9	0.0
postmans	12.5	27	66.67	11.11	22.22	0.0
melwen	11.76	190	58.42	7.37	33.68	0.53
rkass	11.54	29	44.83	10.34	44.83	0.0
IsabeltheCat	11.11	20	20.0	0.0	80.0	0.0
doctorabi	6.67	32	40.62	9.38	46.88	3.12
ejwu	5.88	36	50.0	2.78	47.22	0.0
derekcheah	5.13	41	56.1	0.0	43.9	0.0
lotem	5.0	21	57.14	28.57	14.29	0.0
kimbifille	3.51	59	38.98	13.56	37.29	10.17
