Player	Suit #1	Count #1	Suit #2	Count #2	Suit #3	Count #3	Suit #4	Count #4	Suit #5	Count #5
ADrone	Rainbow	19%	Black	14%	White	11%	Pink	9%	Brown	8%
asaelr	Rainbow	17%	Black	16%	Pink	10%	White	9%	Brown	8%
Bot-Fiora	Rainbow	14%	Black	12%	White	11%	Pink	8%	Prism	8%
DMoney	Rainbow	16%	Black	16%	Pink	9%	White	8%	Brown	6%
Dr_Kakashi	Black	16%	Rainbow	15%	White	10%	Pink	10%	Brown	7%
eliclax	Black	15%	Rainbow	12%	White	9%	Pink	9%	Brown	9%
Fireheart	Rainbow	17%	Black	14%	White	10%	Null	9%	Pink	9%
Floriman	Rainbow	16%	Black	14%	Pink	10%	White	9%	Brown	8%
florrat2	Black	33%	Dark Rainbow	25%	Rainbow	20%	Brown	5%	White	4%
IAMJEFF	Rainbow	13%	Pink	12%	White	10%	Black	10%	Brown	9%
indego	Rainbow	10%	Pink	10%	Black	9%	Brown	8%	Omni	8%
kimbifille	Rainbow	12%	Black	12%	White	8%	Pink	8%	Brown	6%
Kyle	Rainbow	17%	Black	13%	White	9%	Pink	9%	Brown	7%
Lanvin	Rainbow	12%	White	9%	Prism	9%	Pink	8%	Brown	8%
Lel0uch	Rainbow	13%	Pink	10%	Black	8%	White	7%	Omni	7%
Libster	Black	30%	Rainbow	27%	Dark Rainbow	16%	White	6%	Brown	6%
MarkusKahlsen	Rainbow	12%	Black	12%	Pink	9%	White	8%	Brown	8%
melwen	Rainbow	13%	Black	12%	Pink	9%	White	8%	Brown	7%
micerang	Rainbow	19%	Black	14%	White	11%	Brown	11%	Pink	10%
nitawa	Black	20%	Rainbow	9%	Dark Rainbow	8%	Pink	7%	Dark Pink	7%
Nitrate	Rainbow	19%	Black	12%	White	11%	Brown	9%	Pink	8%
Pablo-	Black	15%	Rainbow	13%	White	9%	Pink	8%	Brown	6%
padi	Black	18%	Rainbow	16%	White	12%	Brown	10%	Pink	8%
pianoblook	Rainbow	13%	Black	12%	White	9%	Pink	9%	Brown	8%
piper	Black	12%	Rainbow	11%	Pink	8%	White	7%	Null	7%
RaKXeR	Rainbow	30%	Black	26%	Dark Rainbow	12%	White	6%	Pink	6%
scharkbite	Rainbow	18%	Black	16%	White	9%	Pink	8%	Brown	6%
sin_faith	Rainbow	14%	Black	12%	Pink	10%	White	8%	Brown	7%
sjdrodge	Rainbow	23%	White	15%	Black	12%	Brown	11%	Pink	9%
TimeHoodie	Rainbow	13%	Black	11%	Pink	9%	White	7%	Brown	7%
timotree	Rainbow	16%	Prism	10%	Black	10%	White	9%	Pink	8%
Valetta6789	Rainbow	15%	White	10%	Black	10%	Pink	9%	Omni	9%
Zamiel	Black	20%	Rainbow	18%	Dark Rainbow	11%	Pink	8%	White	7%
