variant	variant_id
Alternating Clues & Light Pink (5 Suits) 	1275
Alternating Clues & Muddy Rainbow (4 Suits) 	1272
Alternating Clues & Null (3 Suits) 	1269
Alternating Clues & Null (6 Suits) 	1266
Brown-Fives & Cocoa Rainbow (6 Suits) 	983
Brown-Fives & Dark Null (6 Suits) 	676
Brown-Fives & Null (5 Suits) 	663
Brown-Fives & Null (6 Suits) 	662
Brown-Fives & Omni (5 Suits) 	659
Brown-Ones & Dark Null (5 Suits) 	445
Deceptive-Fives & Brown (3 Suits) 	1752
Deceptive-Fives & Brown (4 Suits) 	1751
Deceptive-Fives & Cocoa Rainbow (5 Suits) 	1786
Deceptive-Fives & Dark Null (5 Suits) 	1784
Deceptive-Fives & Dark Null (6 Suits) 	1783
Deceptive-Fives & Dark Pink (5 Suits) 	1776
Deceptive-Fives & Gray (5 Suits) 	1778
Deceptive-Fives & Muddy Rainbow (3 Suits) 	1764
Deceptive-Fives & Null (3 Suits) 	1760
Deceptive-Fives & Null (6 Suits) 	1757
Deceptive-Fives & Omni (5 Suits) 	1754
Deceptive-Fives & Pink (3 Suits) 	1744
Deceptive-Fives & Rainbow (3 Suits) 	1740
Deceptive-Ones & Dark Brown (5 Suits) 	1720
Deceptive-Ones & Dark Null (6 Suits) 	1723
Deceptive-Ones & Dark Omni (5 Suits) 	1722
Deceptive-Ones & Dark Omni (6 Suits) 	1721
Deceptive-Ones & Dark Pink (5 Suits) 	1716
Deceptive-Ones & Dark Rainbow (5 Suits) 	1714
Deceptive-Ones & Muddy Rainbow (3 Suits) 	1704
Deceptive-Ones & Null (4 Suits) 	1699
Deceptive-Ones & Null (5 Suits) 	1698
Extremely Ambiguous & Dark Pink (6 Suits) 	1411
Light-Pink-Fives & Dark Prism (5 Suits) 	1640
Light-Pink-Fives & Muddy Rainbow (3 Suits) 	1198
Light-Pink-Fives & Null (4 Suits) 	1193
Light-Pink-Fives & Omni (6 Suits) 	1187
Light-Pink-Fives & Pink (3 Suits) 	1178
Light-Pink-Ones & Dark Null (5 Suits) 	1110
Light-Pink-Ones & Dark Null (6 Suits) 	1109
Light-Pink-Ones & Dark Rainbow (5 Suits) 	1100
Light-Pink-Ones & Gray Pink (6 Suits) 	1113
Light-Pink-Ones & Null (5 Suits) 	1088
Light-Pink-Ones & Omni (3 Suits) 	1086
Muddy-Rainbow-Fives & Dark Brown (5 Suits) 	1158
Muddy-Rainbow-Fives & Null (5 Suits) 	1140
Muddy-Rainbow-Ones & Dark Prism (5 Suits) 	1586
Null-Fives & Dark Null (5 Suits) 	757
Null-Fives & Dark Omni (5 Suits) 	755
Null-Fives & Dark Omni (6 Suits) 	754
Null-Fives & Dark Prism (5 Suits) 	1628
Null-Fives & Dark Prism (6 Suits) 	1627
Null-Fives & Dark Rainbow (5 Suits) 	747
Null-Fives & Gray Pink (6 Suits) 	1009
Null-Fives & Light Pink (4 Suits) 	1005
Null-Fives & Light Pink (5 Suits) 	1004
Null-Fives & Muddy Rainbow (5 Suits) 	1000
Null-Fives & Null (5 Suits) 	743
Null-Fives & Omni (6 Suits) 	738
Null-Fives & Pink (3 Suits) 	729
Null-Fives & Prism (3 Suits) 	1626
Null-Fives & Prism (5 Suits) 	1624
Null-Fives & Prism (6 Suits) 	1623
Null-Ones & Cocoa Rainbow (5 Suits) 	936
Null-Ones & Dark Prism (5 Suits) 	1580
Null-Ones & Light Pink (3 Suits) 	934
Null-Ones & Muddy Rainbow (3 Suits) 	930
Omni-Fives & Muddy Rainbow (4 Suits) 	989
Omni-Fives & Null (3 Suits) 	705
Omni-Fives & Null (6 Suits) 	702
Omni-Fives & Omni (4 Suits) 	700
Omni-Ones & Dark Null (6 Suits) 	484
Pink-Fives & Muddy Rainbow (3 Suits) 	954
Pink-Fives & Null (4 Suits) 	584
Pink-Fives & Omni (3 Suits) 	581
Pink-Ones & Dark Null (5 Suits) 	365
Pink-Ones & Dark Null (6 Suits) 	364
Rainbow-Fives & Dark Null (6 Suits) 	564
Rainbow-Fives & Null (4 Suits) 	552
White-Fives & Dark Omni (6 Suits) 	634
White-Fives & Dark Pink (6 Suits) 	628
White-Fives & Null (6 Suits) 	622
