Player	ADrone	asaelr	Bot-Fiora	Dr_Kakashi	eliclax	Fireheart	Floriman	florrat2	IAMJEFF	indego	kimbifille	Kyle	Lanvin	Lel0uch	Libster	MarkusKahlsen	melwen	micerang	nitawa	Nitrate	Pablo-	padi	pianoblook	piper	RaKXeR	scharkbite	sin_faith	sjdrodge	timotree	Valetta6789	Zamiel
ADrone	100%	23%	21%	13%	22%	13%	32%	27%	19%	51%	27%	25%	31%	33%	33%	37%	15%	23%	21%	30%	34%	32%	50%	36%	31%	7%	32%	29%	33%	22%	14%
asaelr	45%	100%	33%	23%	34%	21%	46%	37%	30%	58%	35%	35%	40%	44%	38%	48%	25%	33%	31%	44%	44%	42%	57%	46%	37%	12%	42%	36%	45%	32%	22%
Bot-Fiora	24%	19%	100%	12%	18%	12%	23%	19%	16%	30%	20%	19%	21%	22%	20%	24%	14%	18%	16%	21%	22%	21%	30%	22%	20%	7%	20%	19%	23%	16%	12%
Dr_Kakashi	55%	48%	43%	100%	62%	37%	60%	52%	51%	79%	68%	54%	74%	76%	60%	69%	51%	53%	59%	56%	74%	55%	80%	67%	53%	24%	58%	55%	74%	59%	38%
eliclax	32%	25%	22%	21%	100%	17%	36%	27%	25%	52%	33%	28%	39%	46%	33%	42%	23%	28%	31%	32%	43%	32%	54%	42%	29%	9%	34%	32%	43%	28%	18%
Fireheart	58%	47%	45%	39%	52%	100%	61%	53%	46%	68%	56%	53%	61%	60%	61%	62%	41%	51%	48%	54%	64%	58%	70%	61%	54%	22%	54%	56%	61%	52%	36%
Floriman	38%	28%	24%	17%	30%	17%	100%	34%	25%	52%	31%	30%	39%	39%	40%	46%	19%	28%	26%	35%	43%	38%	57%	44%	33%	9%	36%	34%	42%	26%	16%
florrat2	38%	27%	23%	17%	27%	17%	40%	100%	24%	49%	29%	28%	34%	38%	43%	43%	19%	29%	25%	34%	39%	38%	53%	40%	36%	10%	35%	36%	42%	26%	17%
IAMJEFF	53%	42%	37%	33%	48%	29%	58%	47%	100%	69%	53%	46%	59%	60%	53%	65%	34%	44%	46%	51%	62%	53%	67%	63%	48%	18%	54%	52%	61%	46%	30%
indego	23%	13%	12%	8%	16%	7%	20%	16%	11%	100%	18%	14%	21%	25%	20%	24%	9%	13%	13%	18%	23%	18%	35%	22%	17%	4%	20%	17%	23%	13%	7%
kimbifille	34%	23%	22%	21%	29%	16%	33%	26%	25%	50%	100%	29%	44%	44%	34%	41%	23%	25%	32%	32%	44%	32%	52%	42%	29%	9%	30%	31%	40%	28%	17%
Kyle	44%	31%	29%	22%	33%	21%	43%	35%	29%	54%	40%	100%	47%	44%	40%	48%	25%	32%	33%	37%	47%	38%	57%	44%	37%	12%	37%	37%	43%	33%	20%
Lanvin	28%	18%	16%	16%	24%	12%	29%	22%	19%	43%	31%	24%	100%	39%	29%	34%	19%	20%	24%	26%	37%	25%	44%	32%	25%	7%	26%	27%	33%	23%	13%
Lel0uch	30%	20%	17%	17%	29%	13%	30%	25%	20%	52%	32%	24%	41%	100%	31%	40%	19%	22%	25%	30%	41%	29%	53%	39%	27%	7%	30%	29%	40%	23%	15%
Libster	38%	22%	20%	16%	27%	16%	38%	35%	22%	52%	30%	26%	37%	38%	100%	42%	17%	26%	24%	30%	40%	36%	54%	41%	36%	9%	34%	35%	41%	25%	14%
MarkusKahlsen	44%	29%	24%	19%	35%	17%	45%	36%	28%	63%	38%	33%	44%	51%	43%	100%	21%	31%	31%	40%	51%	41%	63%	51%	37%	9%	42%	38%	51%	29%	18%
melwen	35%	29%	27%	27%	36%	21%	36%	31%	28%	48%	41%	33%	48%	47%	34%	41%	100%	30%	36%	38%	47%	33%	49%	40%	33%	14%	34%	36%	43%	33%	24%
micerang	57%	42%	39%	31%	49%	29%	59%	51%	40%	70%	49%	46%	56%	59%	57%	66%	33%	100%	43%	54%	60%	58%	77%	64%	54%	17%	52%	55%	62%	42%	30%
nitawa	40%	30%	27%	26%	42%	21%	41%	33%	31%	54%	47%	36%	52%	51%	39%	51%	30%	33%	100%	40%	56%	37%	60%	48%	36%	12%	38%	38%	49%	37%	23%
Nitrate	46%	33%	28%	20%	33%	18%	43%	37%	28%	60%	38%	32%	44%	49%	40%	51%	25%	33%	31%	100%	48%	42%	62%	49%	39%	10%	42%	38%	48%	30%	21%
Pablo-	33%	22%	19%	17%	29%	14%	34%	27%	22%	50%	33%	26%	40%	43%	33%	42%	20%	23%	28%	31%	100%	31%	53%	41%	29%	8%	32%	29%	41%	24%	15%
padi	44%	30%	25%	18%	31%	18%	44%	38%	27%	56%	34%	31%	39%	44%	44%	48%	20%	32%	27%	39%	45%	100%	60%	46%	39%	10%	41%	37%	46%	28%	18%
pianoblook	19%	11%	10%	7%	14%	6%	18%	14%	9%	30%	16%	13%	19%	22%	18%	21%	8%	12%	12%	16%	21%	16%	100%	23%	15%	3%	16%	16%	22%	11%	7%
piper	32%	21%	17%	14%	26%	12%	32%	25%	20%	44%	29%	22%	32%	37%	32%	38%	15%	23%	22%	29%	38%	29%	54%	100%	28%	6%	28%	29%	38%	21%	13%
RaKXeR	49%	30%	28%	20%	33%	20%	44%	41%	28%	62%	37%	34%	45%	47%	50%	51%	23%	34%	30%	42%	47%	45%	65%	51%	100%	11%	43%	43%	49%	32%	20%
scharkbite	67%	60%	59%	56%	62%	48%	71%	67%	62%	78%	65%	66%	73%	71%	75%	74%	60%	67%	62%	66%	79%	69%	78%	69%	64%	100%	64%	67%	70%	60%	52%
sin_faith	44%	29%	24%	19%	32%	17%	41%	34%	27%	60%	33%	30%	40%	45%	41%	49%	20%	29%	27%	38%	45%	40%	56%	44%	36%	9%	100%	35%	46%	29%	18%
sjdrodge	33%	21%	19%	15%	25%	15%	32%	29%	21%	43%	28%	24%	35%	36%	34%	37%	18%	25%	23%	29%	35%	30%	48%	38%	30%	8%	29%	100%	38%	22%	15%
timotree	33%	23%	20%	17%	30%	14%	35%	30%	22%	51%	31%	25%	36%	43%	36%	43%	19%	25%	26%	32%	43%	33%	58%	42%	30%	7%	33%	33%	100%	24%	16%
Valetta6789	44%	32%	29%	28%	38%	24%	44%	37%	33%	57%	44%	38%	51%	49%	43%	49%	29%	33%	39%	39%	50%	39%	59%	48%	39%	12%	42%	39%	49%	100%	22%
Zamiel	66%	53%	49%	43%	60%	38%	64%	56%	51%	79%	61%	54%	68%	75%	59%	71%	51%	57%	57%	67%	75%	62%	83%	70%	60%	25%	61%	63%	74%	53%	100%
